hotel_id,hotel_name,city,area,room_type,price,rating,reviews,discount,availability_365
1,OYO Inn 282,Mumbai,Salt Lake,Classic,4712.0,2.8,0.0,0.0,15.0
3,Oyo Flagship 221,Chennai,Andheri,Classic,6214.0,2.7,0.0,0.0,0.0
5,Oyo Inn 855,Hyderabad,Airport Road,Classic,6677.0,3.4,0.0,0.0,325.0
6,oyo Flagship 168,Goa,City Center,Deluxe,8273.0,3.6,0.0,48.0,0.0
7,Oyo Townhouse 217,Pune,Park Street,Deluxe,5855.0,3.6,0.0,0.0,0.0
8,Oyo Stay 409,Ahmedabad,Airport Road,Deluxe,6630.0,4.8,0.0,0.0,321.0
10,OYO SilverKey 446,Chennai,Whitefield,Classic,3291.0,3.6,0.0,0.0,0.0
11,oyo Flagship 157,Goa,Airport Road,Suite,6826.0,3.6,0.0,0.0,157.0
12,OYO Stay 970,Delhi,Whitefield,Deluxe,1990.0,4.2,1090.0,47.0,0.0
13,oyo Residency 748,Kolkata,Airport Road,Deluxe,3995.0,3.6,0.0,38.0,115.0
16,oyo Townhouse 690,Jaipur,Andheri,Deluxe,2312.0,3.6,223.0,0.0,216.0
17,Oyo Flagship 896,Hyderabad,Airport Road,Deluxe,1935.0,3.6,200.0,0.0,0.0
18,Oyo Flagship 886,Jaipur,Banjara Hills,Premium,7270.0,2.9,0.0,55.0,0.0
21,oyo Stay 324,Ahmedabad,Banjara Hills,Premium,4972.0,3.6,0.0,0.0,161.0
22,Oyo Stay 577,Delhi,Connaught Place,Suite,2338.0,3.6,543.0,0.0,0.0
24,OYO Inn 352,Ahmedabad,City Center,Classic,4035.0,3.6,104.0,32.0,170.0
26,Oyo SilverKey 921,Delhi,Salt Lake,Classic,1353.0,3.0,1365.0,0.0,79.0
27,OYO Collection 26,Bangalore,MG Road,Deluxe,3638.0,3.6,0.0,20.0,0.0
28,Oyo Flagship 205,Delhi,Connaught Place,Suite,8241.0,3.2,456.0,17.0,0.0
29,oyo Stay 410,Chennai,Salt Lake,Suite,6125.0,3.6,0.0,0.0,0.0
30,oyo Townhouse 395,Ahmedabad,Park Street,Suite,3814.0,3.6,0.0,0.0,220.0
31,oyo SilverKey 680,Chennai,Whitefield,Deluxe,2741.0,3.6,0.0,49.0,0.0
34,OYO Flagship 26,Kolkata,Park Street,Deluxe,1457.0,3.6,0.0,0.0,0.0
35,Oyo Flagship 152,Jaipur,Whitefield,Deluxe,790.0,4.3,0.0,0.0,0.0
36,Oyo Inn 544,Bangalore,MG Road,Deluxe,5898.0,3.6,0.0,40.0,0.0
38,OYO Flagship 155,Goa,Whitefield,Premium,4488.0,3.6,438.0,31.0,212.0
40,OYO SilverKey 447,Jaipur,MG Road,Classic,8656.0,3.6,0.0,15.0,273.0
41,oyo Stay 679,Pune,Connaught Place,Deluxe,1144.0,4.0,945.0,21.0,0.0
42,Oyo SilverKey 771,Chennai,Park Street,Deluxe,7606.0,3.6,0.0,8.0,35.0
44,oyo Stay 987,Bangalore,Salt Lake,Premium,2576.0,4.7,1185.0,0.0,101.0
45,oyo Residency 643,Ahmedabad,City Center,Suite,4678.0,3.6,0.0,0.0,0.0
46,OYO Stay 664,Chennai,MG Road,Premium,6290.0,3.6,0.0,45.0,0.0
47,oyo Residency 496,Ahmedabad,Banjara Hills,Premium,8316.0,3.6,0.0,0.0,0.0
48,oyo Inn 389,Ahmedabad,Connaught Place,Suite,6211.0,3.6,0.0,27.0,0.0
49,OYO Stay 971,Goa,Andheri,Deluxe,3830.0,3.6,0.0,0.0,0.0
50,OYO Townhouse 302,Jaipur,Whitefield,Suite,4330.0,3.6,0.0,0.0,0.0
